Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nigeria,NGA,2022,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,20.3826405686613
Nigeria,NGA,2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,106.752625938201
Nigeria,NGA,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,114.840451470385
Nigeria,NGA,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,65.5182438216209
Nigeria,NGA,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,94.7397487229049
Nigeria,NGA,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,112.328853087054
Nigeria,NGA,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,121.314951517047
Nigeria,NGA,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,221.86128621581
Nigeria,NGA,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,413.124923273657
Nigeria,NGA,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,283.905444444444
Nigeria,NGA,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,171.866428753505
Nigeria,NGA,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,311.230782108876
Nigeria,NGA,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1086.44940428055
Nigeria,NGA,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,213.507755133099
Nigeria,NGA,1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,239.571428571429
Nigeria,NGA,1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,200.245398773006
Nigeria,NGA,1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,298.051948051948
Nigeria,NGA,1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,140.145395799677
Nigeria,NGA,1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,131.749460043197
Nigeria,NGA,1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,187.698161065314
Nigeria,NGA,1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,139.69696969697
Nigeria,NGA,1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,118.534482758621
Nigeria,NGA,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,134.714375392342
Nigeria,NGA,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,122.216117216117
Nigeria,NGA,1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,114.25431711146
Nigeria,NGA,1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,102.911392405063
Nigeria,NGA,1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,182.531055900621
Nigeria,NGA,1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,907.067137809187
Nigeria,NGA,1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,4452
Nigeria,NGA,1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,5324
Nigeria,NGA,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,6178.57142857143
